,City,jpin,title,category_name,status,Exact title,ID,
114,Chennai,JPIN-1304475464,"Parle Hide & Seek Cookies, 33g Pack","Biscuit, Confectionary & Snacks",pending,Parle Platina Hide & Seek Chocolate chip Cookies 33 g,115,Parle Platina Hide & Seek Chocolate Chip Cookies 33 g
115,Chennai,JPIN-1304472974,"Parle Krack Jack Biscuits, 34.36g Pack","Biscuit, Confectionary & Snacks",pending,Parle Krackjack Biscuits 34.36 g,116,Parle Krackjack Biscuits 34.36 g
116,Chennai,JPIN-1304472969,"Parle Krack Jack Biscuits, 66.7g Pack","Biscuit, Confectionary & Snacks",pending,Parle KrackJack 66.7 g,117,Parle KrackJack 66.7 g
117,Chennai,JPIN-1304476075,"Parle Melody Chocolaty Toffee, 390g Pack (100Pcs x 3.9g)","Biscuit, Confectionary & Snacks",pending,Parle Melody Chocolaty Toffee 391 g,118,Parle Melody Chocolaty Toffee 391 g
118,Chennai,JPIN-1304472970,"Parle Monaco Classic Regular Biscuits, 66.7g Pack","Biscuit, Confectionary & Snacks",pending,Parle Monaco Biscuits 66.7 g,119,Parle Monaco Biscuits 66.7 g
119,Chennai,JPIN-1304472960,"Parle-G Biscuits, 110g Pack","Biscuit, Confectionary & Snacks",pending,Parle-G Biscuits 110 g,120,Parle-G Biscuits 110 g (Get +20 g Extra)
120,Chennai,JPIN-1304476076,"Parle-G Biscuits, 200g Pack","Biscuit, Confectionary & Snacks",pending,Parle-G Original Glucose Biscuits 250 g,121,Parle-G Original Glucose Biscuits 250 g
121,Chennai,JPIN-1304476079,"Parle-G Biscuits, 55g Pack","Biscuit, Confectionary & Snacks",pending,Parle-G Biscuits 55 g,122,Parle-G Biscuits 55 g (Get +10 g Extra)
122,Chennai,JPIN-1304475823,"Pears Soft & Fresh Bathing Bar, 75g Box",Personal Care,pending,Pears Soft & Fresh Soap with Mint Extracts 75 g,123,Pears Soft & Fresh Soap with Mint Extracts 75 g
123,Chennai,JPIN-1304474538,"Pepsodent Germi Check+ Toothpaste, 100g Box",Personal Care,pending,Pepsodent Germicheck Cavity Protection Toothpaste 100 g,124,Pepsodent Germicheck Cavity Protection Toothpaste 100 g
124,Chennai,JPIN-1304474526,"Pond's Dreamflower Fragrant Talc, Pink Lily, 100g Bottle",Personal Care,pending,Pond's Dreamflower Pink Lily  Fragrant Talc 100 g,125,Pond's Dreamflower Pink Lily  Fragrant Talc 100 g
125,Chennai,JPIN-1304474515,"Pond's Dreamflower Fragrant Talc, Pink Lily, 25g Bottle",Personal Care,pending,Pond's Dreamflower Pink Lily  Fragrant Talc 25 g,126,Pond's Dreamflower Pink Lily  Fragrant Talc 25 g
126,Chennai,JPIN-1304474541,"Pond's Dreamflower Fragrant Talc, Pink Lily, 50g Bottle",Personal Care,pending,Pond's Dreamflower Pink Lily  Fragrant Talc 50 g,127,Pond's Dreamflower Pink Lily  Fragrant Talc 50 g
127,Chennai,JPIN-1304477196,"Pond's White Beauty Spot Less Fairness Day Cream, 7g Sachet",Personal Care,pending,Pond's White Beauty Spot Less Fairness Day Cream 7 g,128,Pond's White Beauty Spot-less Fairness Day Cream 7 g
128,Chennai,JPIN-1304476805,"Real Fruit Power Juice, Mango, 1L Tetra Pak",Beverages,pending,Real Fruit Power Mango Juice 1 L,129,"Real Fruit Power Juice, Mango, 1L Tetra Pak"
129,Chennai,JPIN-1304474427,"Rin ALA Fabric Whitener, 200ml Bottle",Home Care,pending,Rin Ala Fabric Whitener 200 ml,130,Rin ALA Fabric Whitener 200 ml
130,Chennai,JPIN-1304477301,"Rin Detergent Bar, 140g Pack",Home Care,pending,Rin Detergent Bar 140 g,131,Rin Detergent Bar 140 g
131,Chennai,JPIN-1304474582,"Rin Detergent Powder, 1Kg Pack",Home Care,pending,Rin Detergent Powder 1 Kg,132,Rin Detergent Powder 1 kg
225,Chennai,JPIN-1304591356,"Roobini Refined Palmolein Oil, 500ml Pouch","Oil, Ghee and Vanaspati",pending,Roobini  Palm Oil 500 ml,226,Roobini  PalmOil 500 ml
217,Chennai,JPIN-1304361538,"Roobini Refined Palmolein, 1L Pouch","Oil, Ghee and Vanaspati",pending,Roobini Palm Oil 1 L,218,Roobini Palm Oil 1 L
233,Chennai,JPIN-1304473143,"Ruchi Gold Refined Palmolein Oil, 1L Pouch","Oil, Ghee and Vanaspati",pending,Ruchi Gold Refined Palmolein Oil 1 L,234,Ruchi Gold Refined Palmolein Oil 1 L
132,Chennai,JPIN-1304472245,"Saffola Oats, 1Kg Pack",Packaged Foods,pending,Saffola Oats 1 kg (+Get 400 g Extra),133,Saffola Oats 1K g
133,Chennai,JPIN-1304475474,"Sakthi Chicken Masala, 100g Pack",Grounded Spices & Masalas,pending,Sakthi Chicken Masala 100 g,134,Sakthi Chicken Masala 100 g
134,Chennai,JPIN-1304472373,"Sakthi Chicken Masala, 50g Pack",Grounded Spices & Masalas,pending,Sakthi Chicken Masala 50 g,135,Sakthi Chicken Masala 50 g
135,Chennai,JPIN-1304472443,"Sakthi Chilli Powder, 100g Pack",Grounded Spices & Masalas,pending,Sakthi Chilli Powder 100 g,136,Sakthi Chilli Powder 100 g
136,Chennai,JPIN-1304472442,"Sakthi Chilli Powder, 200g Pack",Grounded Spices & Masalas,pending,Sakthi Chilli Powder 200 g,137,Sakthi Chilli Powder 200 g
137,Chennai,JPIN-1304475496,"Sakthi Chilli Powder, 500g Pack",Grounded Spices & Masalas,pending,Sakthi Chilli Powder 500 g,138,Sakthi Chilli Powder 500 g
138,Chennai,JPIN-1304475501,"Sakthi Curry Masala Powder, 100g Pack",Grounded Spices & Masalas,pending,Sakthi Curry Powder 100 gm,139,Sakthi Curry Masala Powder 100 gm
139,Chennai,JPIN-1304472375,"Sakthi Fish Fry Masala, 50g Pack",Grounded Spices & Masalas,pending,Sakthi Fish Fry Masala 50 g,140,Sakthi Fish Fry Masala 50 g
140,Chennai,JPIN-1304477700,"Sakthi Garam Masala Powder, 50g Pack",Grounded Spices & Masalas,pending,Sakthi Super Garam Masala 50 g,141,Sakthi Garam Masala 50 g
141,Chennai,JPIN-1304372756,"Sakthi Pepper Powder, 50g Pack",Grounded Spices & Masalas,pending,Sakthi Black Pepper Powder  50 g,142,Sakthi Black Pepper Powder  50 g
142,Chennai,JPIN-1304470832,"Sakthi Rasam Powder, 100g Pack",Grounded Spices & Masalas,pending,Sakthi Rasam Powder 100 g,143,Sakthi Rasam Powder 100 g
143,Chennai,JPIN-1304472369,"Sakthi Sambar Powder, 100g Pack",Grounded Spices & Masalas,pending,Sakthi Sambar Powder 100 g,144,Sakthi Sambar Powder 100 g
144,Chennai,JPIN-1304475503,"Sakthi Sambar Powder, 200g Pack",Grounded Spices & Masalas,pending,Sakthi Sambar Powder 200 g,145,Sakthi Sambar Powder 200 g
145,Chennai,JPIN-1304475499,"Sakthi Turmeric Powder, 100g Pack",Grounded Spices & Masalas,pending,Sakthi Turmeric Powder 100 g,146,Sakthi Turmeric Powder 100 g
146,Chennai,JPIN-1304412440,"Sakthi Turmeric Powder, 200g Pack",Grounded Spices & Masalas,pending,Sakthi Turmeric Powder 200 g,147,Sakthi Turmeric Powder 200 g
147,Chennai,JPIN-1304476329,"Santoor Total Skin Care Bathing Bar, Sandal & Turmeric, 100g Pack",Personal Care,pending,Santoor Sandal & Turmeric Soap 100 g,148,Santoor Sandal & Turmeric Soap 100 g
240,Chennai,JPIN-1304478238,"Savlon Herbal Sensitive Hand Wash, 750ml Spout Pouch",Personal Care,pending,Savlon Herbal Sensitive Handwash Refill 750ml,241,Savlon Herbal Sensitive Handwash Refill 175 ml
239,Chennai,JPIN-1304478233,"Savlon Moisture Shield Hand Wash, 750ml Spout Pouch",Personal Care,pending,Savlon Moisture Shield Handwash Refill 750ml,240,Savlon Moisture Shield Handwash Refill 750 ml
148,Chennai,JPIN-1304362234,"Savlon Surface Disinfectant Spray, 170g Bottle",Home Care,pending,Savlon Surface Disinfectant Spray 170 g,149,Savlon Surface Disinfectant Spray 170 g
149,Chennai,JPIN-1304459165,"Scotch-Brite Silver Sparks Scrub Pad, 7cm x 10cm, 1Pc Pack",Cleaning & Household Supplies,pending,Scotch-Brite Silver Sparks Scrub Pad (7 cm x 7.5 cm),150,Scotch-Brite Silver Sparks Scrub Pad (7cm x 10cm)
150,Chennai,JPIN-1304590531,"Scotch-Brite Silver Sparks Scrub Pad, 7cm x 7.5cm, 2Pcs Pack",Cleaning & Household Supplies,pending,Scotch-Brite Silver Sparks Scrub Pad(7cm x 7.5cm),151,Scotch-Brite Silver Sparks Scrub Pad (7 cm x 7.5 cm)
151,Chennai,JPIN-1304351397,"Scotch-Brite Stainless Steel & Scrub Pad, 7.5cm x 7.5cm, 3Pcs Combo Pack",Cleaning & Household Supplies,pending,Scotch-Brite Stainless Steel & Scrub Pad(7.5cm x 7.5cm),152,Scotch-Brite Stainless Steel & Scrub Pad(7.5cm x 7.5cm)
228,Chennai,JPIN-1304475109,"Sensodyne Fresh Mint Toothpaste, 40g Box",Personal Care,pending,Sensodyne Sensitive  Fresh Mint Toothpaste 40 g,229,SensodyneSensitive  Fresh Mint Toothpaste 40 g
190,Chennai,JPIN-1304469389,"Stayfree Secure Dry Cover Sanitary Pads With Wings, Extra Large, 7Pcs Pack",Personal Care,pending,Stayfree Secure Dry Cover Sanitary Napkin With Wings (XL) 7 pads,191,Stayfree Secure Dry Cover Sanitary Napkin with Wings (XL) 7 pads
152,Chennai,JPIN-1304472814,"Sunfeast Bounce Creme Biscuits, Choco Creme, 34g Pack","Biscuit, Confectionary & Snacks",pending,Sunfeast Bounce Choco Creme Biscuits 34 g (+Get 7 g Extra),153,Sunfeast Bounce  Choco Creme Biscuits 34 g
153,Chennai,JPIN-1304472989,"Sunfeast Bounce Creme Biscuits, Elaichi Delight, 34g Pack","Biscuit, Confectionary & Snacks",pending,Sunfeast Bounce Elaichi Delight Cream Biscuits 34 g (+Get 7 g Extra),154,Sunfeast Bounce Elaichi Delight Creme Biscuits 34 g
154,Chennai,JPIN-1304472991,"Sunfeast Bounce Creme Biscuits, Tangy Orange, 34g Pack","Biscuit, Confectionary & Snacks",pending,Sunfeast Bounce Tangy Orange Creme Biscuits 34 g,155,Sunfeast Bounce Tangy Orange Creme Biscuits 34 g
155,Chennai,JPIN-1304479041,"Sunfeast Dark Fantasy Choco Fills, 20g Box","Biscuit, Confectionary & Snacks",pending,Sunfeast Dark Fantasy Choco Fills  20 g,156,Sunfeast Dark Fantasy Choco Fills  20 g
156,Chennai,JPIN-1304472985,"Sunfeast Dark Fantasy Choco Fills, 75g Box","Biscuit, Confectionary & Snacks",pending,Sunfeast Dark Fantasy Choco Fills 75 g,157,Sunfeast Dark Fantasy Choco Fills 75 g
157,Chennai,JPIN-1304473004,"Sunfeast Hi Fi Cookies, Cashew Butter, 36g Pack","Biscuit, Confectionary & Snacks",pending,Sunfeast Hi Fi Cashew Butter  Cookies 36 g,158,Sunfeast Hi Fi Cashew Butter  Cookies 36 g
158,Chennai,JPIN-1304605710,"Sunfeast Marie Light Biscuits, Active, 38g Pack","Biscuit, Confectionary & Snacks",pending,Sunfeast Marie Light Biscuits 38 g (+Get 5 g Extra),159,Sunfeast Marie Light Biscuit 38 g
159,Chennai,JPIN-1304603602,"Sunfeast Marie Light Biscuits, Active, 70g Pack","Biscuit, Confectionary & Snacks",pending,Sunfeast Marie Light Biscuits 70 g (+Get 30 g Extra),160,Sunfeast Marie Light Biscuit 70 g
160,Chennai,JPIN-1304472998,"Sunfeast Mom's Magic Biscuits, Rich Butter, 60g Pack","Biscuit, Confectionary & Snacks",pending,Sunfeast Mom's Magic Biscuits  Rich Butter 60 g,161,Sunfeast Mom's Magic Biscuits  Rich Butter 60 g
161,Chennai,JPIN-1304472999,"Sunfeast Mom's Magic Cookies, Cashew & Almond, 50g Pack","Biscuit, Confectionary & Snacks",pending,Sunfeast Mom's Magic Cashew & Almond Cookies  50 g,162,Sunfeast Mom's Magic Cashew & Almond Cookies  50 g
162,Chennai,JPIN-1304477205,"Sunfeast Yippee! Magic Masala Noodles, 280g Pack",Packaged Foods,pending,Sunfeast Yippee! Magic Masala Instant Noodles 240 g,163,Sunfeast Yippee! Magic Masala Instant Noodles 240 g
163,Chennai,JPIN-1304477204,"Sunfeast Yippee! Magic Masala Noodles, 32.5g Pack",Packaged Foods,pending,Sunfeast Yippee! Magic Masala Instant Noodles 32 g,164,Sunfeast Yippee! Magic Masala Instant Noodles 32 g
164,Chennai,JPIN-1304390439,"Sunfeast Yippee! Magic Masala Noodles, 420g Pack",Packaged Foods,pending,Sunfeast Yippee! Magic Masala Instant Noodles 420 g,165,Sunfeast Yippee! Magic Masala Instant Noodles 420 g
165,Chennai,JPIN-1304475853,"Sunfeast Yippee! Magic Masala Noodles, 70g Pack",Packaged Foods,pending,Sunfeast Yippee! Magic Masala Instant Noodles 60 g,166,Sunfeast Yippee! Magic Masala Instant Noodles 60 g
224,Chennai,JPIN-1304591353,"Sunland Refined Sunflower Oil, 1L Pouch","Oil, Ghee and Vanaspati",pending,Sunland Refined Sunflower Oil 1 L,225,Sunland Refined Sunflower Oil 1 L
166,Chennai,JPIN-1304477137,"Surf Excel Easy Wash Detergent Powder, 1Kg Pack",Home Care,pending,Surf Excel Easy Wash Detergent Powder 1 kg,167,Surf Excel Easy Wash Detergent Powder 1 Kg
167,Chennai,JPIN-1304477300,"Surf Excel Easy Wash Detergent Powder, 500g Pack",Home Care,pending,Surf Excel Easy Wash Detergent Powder 500 g,168,Surf Excel Easy Wash Detergent Powder 500 g
168,Chennai,JPIN-1304477058,"Surf Excel Matic Liquid Detergent, Front Load, 1.02L Bottle",Home Care,pending,Surf Excel Matic Front Load Liquid Detergent 1.02 L,169,Surf Excel Matic Liquid Detergent Front Load 1.02 L
169,Chennai,JPIN-1304477085,"Surf Excel Matic Liquid Detergent, Top Load, 1.02L Bottle",Home Care,pending,Surf Excel Matic Top Load Liquid Detergent 1.02 L,170,Surf Excel Matic Liquid Detergent Top Load 1.02 L
170,Chennai,JPIN-1304474588,"Surf Excel Matic Liquid Detergent, Top Load, 500ml Bottle",Home Care,pending,Surf Excel Matic Top Load Liquid Detergent 500 ml,171,Surf Excel Matic Liquid Detergent Top Load 500 ml
171,Chennai,JPIN-1304474567,"Surf Excel Quick Wash Detergent Powder, 12g Sachet",Home Care,pending,Surf Excel Quick Wash Detergent Powder 12 g,172,Surf Excel Quick Wash Detergent Powder 12 g
172,Chennai,JPIN-1304474590,"Surf Excel Quick Wash Detergent Powder, 1Kg Pack",Home Care,pending,Surf Excel Quick Wash Detergent Powder 1 Kg,173,Surf Excel Quick Wash Detergent Powder 1 Kg
173,Chennai,JPIN-1304474572,"Surf Excel Quick Wash Detergent Powder, 500g Pack",Home Care,pending,Surf Excel Quick Wash Detergent Powder 500 g,174,Surf Excel Quick Wash Detergent Powder 500 g
174,Chennai,JPIN-1304474580,"Surf Excel Stain Eraser Detergent Bar, 150g Pack",Home Care,pending,Surf Excel  Detergent Bar 150 g,175,Surf Excel  Detergent Bar 150 g
175,Chennai,JPIN-1304474574,"Surf Excel Stain Eraser Detergent Bar, 250g Pack",Home Care,pending,Surf Excel Detergent Bar 250 g,176,Surf Excel Detergent Bar 250 g
191,Chennai,JPIN-1304477139,"Surf Excel Stain Eraser Detergent Bar, 90g Pack",Home Care,pending,Surf Excel  Detergent Bar 100 g,192,Surf Excel  Detergent Bar 100 g
218,Chennai,JPIN-1304590394,"SVS Refined Groundnut Oil, 1L Pouch","Oil, Ghee and Vanaspati",pending,SVS Refined Groundnut Oil 1 L,219,SVS Refined Groundnut Oil 1 L
248,Chennai,JPIN-1304472805,"Unibic Choco Chip Cookies, 75g Pack","Biscuit, Confectionary & Snacks",pending,Unibic Choco Chip Cookies 75 g,249,Unibic Choco Chip Cookies 75 g
230,Chennai,JPIN-1304474989,"Unibic Choco Ripple Cookies, 31.3g Pack","Biscuit, Confectionary & Snacks",pending,Unibic Choco Ripple Cookies 31.3 g,231,Unibic Choco Ripple Cookies 31.3 g
219,Chennai,JPIN-1304587261,"Varalakshmi Muthyam Steamed Rice, 25Kg Bag, 6 Months Old",Rice and Rice products,pending,Varalakshmi Muthyam Sona Steam Rice 25 Kg,220,Varalakshmi Muthuyam Sona Steam Rice 25 kg
176,Chennai,JPIN-1304477167,"Vim Concentrated Dishwash Gel, Lemon, 155ml Spout Pouch",Home Care,pending,Vim Lemon Concentrated Dishwash Gel 155 ml,177,Vim Lemon Concentrated Dishwash Gel 155 ml
177,Chennai,JPIN-1304474463,"Vim Concentrated Dishwash Gel, Lemon, 250ml Bottle",Home Care,pending,Vim Lemon Concentrated Dishwash Gel 250 ml,178,Vim Lemon Concentrated Dishwash Gel 250 ml
178,Chennai,JPIN-1304474461,"Vim Concentrated Dishwash Gel, Lemon, 500ml Bottle",Home Care,pending,Vim  Lemon Concentrated Dishwash Gel 500 ml,179,Vim  Lemon Concentrated Dishwash Gel 500 ml
180,Chennai,JPIN-1304477302,"Vim Dishwash Bar, 140g Pack",Home Care,pending,Vim Dishwash Bar  140 g,181,Vim Dishwash Bar  140 g
179,Chennai,JPIN-1304474433,"Vim Dishwash Bar, 300g Pack",Home Care,pending,Vim Dishwash Bar 300 g,180,Vim Dishwash Bar 300 g
199,Chennai,JPIN-1304593547,"VVD Gold Pure Coconut Oil, 100ml Bottle",Personal Care,pending,VVD Gold Pure Coconut Oil  100 ml,200,VVD Gold Pure Coconut Oil 100 ml
200,Chennai,JPIN-1304593541,"VVD Gold Pure Coconut Oil, 250ml Bottle",Personal Care,pending,VVD Gold Pure Coconut Oil 250 ml,201,VVD Gold Pure Coconut Oil 250 ml
201,Chennai,JPIN-1304593544,"VVD Gold Pure Coconut Oil, 30ml Bottle",Personal Care,pending,VVD Gold Pure Coconut Oil  30 ml,202,VVD Gold Pure Coconut Oil  30 ml
